family,dtype,m,n,k,kernel_ns,kernel_tflops,ref_ns,ref_tflops,speedup,max_error,status
gemm_layoutAB_ContinuousC,bf16,37888,80,3584,316709.2800140381,68.60075182841808,434082.0014476776,50.05159082279715,1.3706008280794204,0.0,ok
gemm_layoutAB_ContinuousC,bf16,37888,96,3584,350136.30986213684,74.4618393741156,384332.612156868,67.83653751807722,1.0976656842822032,0.5,ok
gemm_layoutAB_ContinuousC,bf16,37888,112,3584,363307.07371234894,83.72281964452736,393383.2049369812,77.32178757573732,1.0827843259898795,1.0,ok
gemm_layoutAB_ContinuousC,bf16,37888,128,3584,378662.72032260895,91.80304710847562,323938.20583820343,107.31179874893387,0.8554795295460247,1.0,ok
gemm_layoutAB_ContinuousC,bf16,37888,144,3584,533029.4370651245,73.36872558357766,532880.425453186,73.38924199127979,0.9997204439350311,0.5,ok
gemm_layoutAB_ContinuousC,bf16,37888,160,3584,467320.90413570404,92.9831921821794,437241.0476207733,99.3799408277137,0.9356334025533001,1.0,ok
gemm_layoutAB_ContinuousC,bf16,37888,176,3584,472940.50455093384,101.06617624004397,486781.8206548691,98.19242698853628,1.0292665059785433,1.0,ok
gemm_layoutAB_ContinuousC,bf16,37888,192,3584,521332.0255279541,100.0199196955032,488540.1576757431,106.73347217980198,0.9370998399359743,0.5,ok
gemm_layoutAB_ContinuousC,bf16,37888,208,3584,571016.2222385406,98.92693775064397,492161.1398458481,114.77721766024258,0.8619039541756643,0.5,ok
gemm_layoutAB_ContinuousC,bf16,37888,224,3584,521508.97681713104,116.65031268930912,483890.99538326263,125.71877922178876,0.9278670490708364,1.0,ok
gemm_layoutAB_ContinuousC,bf16,37888,240,3584,518700.10793209076,125.65928397403269,485448.1667280197,134.26661923417637,0.9358937067959422,1.0,ok
gemm_layoutAB_ContinuousC,bf16,37888,256,3584,572657.2126150131,121.40732985186415,489758.32760334015,141.95732708461216,0.8552382067570249,0.5,ok
gemm_layoutAB_ContinuousC,bf16,3584,16,18944,169647.85754680634,12.806819392933152,182772.05526828766,11.887208188422507,1.0773614115218657,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,32,18944,180616.97483062744,24.0580872759871,183233.99126529694,23.7144806702847,1.014489316063031,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,48,18944,193284.82449054718,33.72198739957863,199176.3710975647,32.724506326140684,1.0304811648951036,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,64,18944,214021.65293693542,40.606161894099614,195067.3758983612,44.5517752416385,0.9114375728882004,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,80,18944,247316.43497943878,43.92448629992237,208579.00381088257,52.08217107916406,0.8433689569729698,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,96,18944,310380.0117969513,41.99979488540004,214587.89706230164,60.74851848804533,0.6913715088157278,2.0,ok
